mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00001,CA-00043,,COMPATIBLE_NO_EDIT,false,baja,Added questionnaire and contextual menu logic,table@body[30]/r[3]/c[2,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00002,CA-00067,CB-00119,COMPATIBLE_NO_EDIT,false,media,Adopted YMYL as canonical term,table@body[30]/r[13]/c[1,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00003,CA-00068,,COMPATIBLE_NO_EDIT,false,baja,"Refined cross-linking, schema markup, FitKidz IA,",table@body[30]/r[13]/c[1,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00004,CA-00080,,COMPATIBLE_NO_EDIT,false,baja,ZMVM1 P10-WL ) are kept in Spanish because they map directly to implementation identifiers and,body[37,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00005,CA-00085,CB-00119,COMPATIBLE_NO_EDIT,false,media,"Prospective members researching a gym - intent-driven, often arriving from external search (""gimnasio Polanco"", ""bajar de peso gym"", ""yoga estudio"").",body[45,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00006,CA-00094,CB-00119,COMPATIBLE_NO_EDIT,false,media,hub at( /bajar-de-peso/ )with YMYL-compliant content and medical sign-off,body[62,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00007,CA-00113,CB-00119,COMPATIBLE_NO_EDIT,false,media,"Organic traffic visibility on ""bajar de peso"" cluster",body[92,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00008,CA-00148,,COMPATIBLE_NO_EDIT,false,baja,"P1, P2, P9, P10-WL, P11-WL,P12-WL",table@body[121]/r[4]/c[2,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00009,CA-00149,,COMPATIBLE_NO_EDIT,false,baja,Questionnaire questions.,table@body[121]/r[4]/c[3,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00010,CA-00180,,COMPATIBLE_NO_EDIT,false,baja,"State - combination of two factors: (a) whether the user has completed the questionnaire, and (b) whether the user has a club identified.",body[132,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00011,CA-00181,,COMPATIBLE_NO_EDIT,false,baja,Questionnaire - the number of questions presented after pre-filling,body[133,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00012,CA-00182,,COMPATIBLE_NO_EDIT,false,baja,"If a question is omitted entirely (the special Individual Club case for PS and P9), it does not count",body[133,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00013,CA-00183,,COMPATIBLE_NO_EDIT,false,baja,"If a question is pre-filled but editable, it still counts as a visible question.",body[133,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00014,CA-00184,,COMPATIBLE_NO_EDIT,false,baja,Contextual menu - the buttons that appear in the page's body content for that state,body[134,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00015,CA-00185,,COMPATIBLE_NO_EDIT,false,baja,The header buttons (always visible per Rules 1-2) and the BES widget (always visible per Rule 3) are not repeated in each matrix.,body[134,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00016,CA-00203,CB-00119,COMPATIBLE_NO_EDIT,false,media,#PagetypeCountURL patternHealth-sensitive (YMYL),body[154,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00017,CA-00244,CB-00119,COMPATIBLE_NO_EDIT,false,media,Yes(YMYL),table@body[156]/r[10]/c[3,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00018,CA-00285,,COMPATIBLE_NO_EDIT,false,baja,Disefia tu experiencia (Design your experience) - opens the questionnaire (Rules 18-21).,body[228,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00019,CA-00306,,COMPATIBLE_NO_EDIT,false,baja,(Tu Sports World • Disena tu experiencia • Preguntale a BES],body[255,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00020,CA-00307,,COMPATIBLE_NO_EDIT,false,baja,Tu Sports World • Disena tu experiencia • BES,body[256]/txbx[0]/p[0,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00021,CA-00335,CB-00119,COMPATIBLE_NO_EDIT,false,media,( Bajar de peso or off.,body[279,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00022,CA-00354,CB-00119,COMPATIBLE_NO_EDIT,false,media,Bajar de peso (medically-backed hub).,body[294,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00023,CA-00360,,COMPATIBLE_NO_EDIT,false,baja,"The three header items (Disena tu experiencia), ( Preguntale a BES), and (Agenda tu visi ta) are not in the side drawer",body[300,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00024,CA-00361,,COMPATIBLE_NO_EDIT,false,baja,Each piece of navigation lives in exactly one place to avoid duplication.,body[300,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00025,CA-00378,,COMPATIBLE_NO_EDIT,false,baja,On press: leads to the guided-visit booking flow,body[312,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00026,CA-00379,,COMPATIBLE_NO_EDIT,false,baja,"If the user has not completed the questionnaire yet, the questionnaire is presented as a prerequisite step before confirming the appointment.",body[312,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00027,CA-00469,CB-00119,COMPATIBLE_NO_EDIT,false,media,Bajar de pesoMedicalWebPage + hubcedula profesional),body[409,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00028,CA-00485,CB-00119,COMPATIBLE_NO_EDIT,false,media,Rule 14 - YMYL content rules,body[430]/Heading4,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00029,CA-00486,CB-00119,COMPATIBLE_NO_EDIT,false,media,The following pages are classified as YMYL (Your Money or Your Life -Google search-quality terminology for content that could affect a user's health or finances):,body[431,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
M-00030,CA-00488,CB-00119,COMPATIBLE_NO_EDIT,false,media,Bajar de peso,body[432]/txbx[0]/p[0,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,No change to Rule 14 YMYL prose; trigger now Q4=Bajar de peso,Rule 14,YMYL content rules preserved (§6 Part4 Rules1-15)
